"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          55,      0.1997580301,      -1.454625608,      0.8805945586,      0.5281835329,       3.371752933,      -11.42721304,   1.634555783e-08,   1.818016444e-06,       6.513393354,       6.983239277,       6.983185846
          56,      0.1997993709,      -1.167425067,      0.9974299759,      0.5245115613,       3.600997754,      -11.40011837,   1.650890643e-08,   1.814558718e-06,       6.513393354,        7.05307167,       7.053005027
          57,      0.1996970163,      -1.314098561,       1.060080227,      0.7139185009,       3.689244919,      -11.40112024,   1.667388632e-08,   1.832266597e-06,       6.513393354,       7.123602386,       7.123530126
          58,      0.1996002366,      -1.423706142,       1.035858708,      0.5348928471,       3.700661859,      -11.41330722,   1.684051379e-08,   1.873343986e-06,       6.513393354,        7.19483841,       7.194757876
          59,      0.1995220604,      -1.425792839,       1.040222308,      0.5723760543,       3.734309745,        -11.420449,   1.700880534e-08,   1.910138734e-06,       6.513393354,       7.266786794,       7.266695143
          60,      0.1995969246,      -1.312358077,       1.079127439,      0.6448273132,       3.761773642,      -11.41842461,    1.71787776e-08,   1.942053804e-06,       6.513393354,       7.339454662,       7.339349156
          61,      0.2002712794,      -1.113418114,       1.109736037,      0.7041931594,       3.810505286,      -11.42667538,   1.735044739e-08,   2.126297724e-06,       6.513393354,       7.412849209,       7.412732283
          62,      0.2005448434,      -1.041117512,       1.130784751,      0.5818883802,       3.848942893,      -11.42080965,   1.752383166e-08,   2.240935868e-06,       6.513393354,       7.486977701,       7.486838223
          63,      0.2005722695,      -1.283859057,       1.172308877,      0.6780288109,       3.694393467,      -11.41814047,   1.769894756e-08,   2.512736355e-06,       6.513393354,       7.561847478,       7.561693424
          64,      0.2005966852,      -1.333002681,      0.9789233458,      0.6614587598,       3.652758841,      -11.43470747,   1.787581239e-08,   2.523647556e-06,       6.513393354,       7.637465953,       7.637305407
          65,      0.2006395244,      -1.414078102,       0.984434266,      0.5211419248,       3.655562443,      -11.43066697,   1.805444364e-08,   2.139548027e-06,       6.513393354,       7.713840612,       7.713670666
          66,      0.2006697379,      -1.316356345,       1.052652107,      0.6025724844,       3.645707966,      -11.42937341,   1.823485895e-08,   2.088235082e-06,       6.513393354,       7.790979018,       7.790794055
          67,      0.2006830144,      -1.284322224,       1.045747034,      0.7921590848,       3.668263058,       -11.4374238,   1.841707614e-08,   2.121086527e-06,       6.513393354,       7.868888809,       7.868694199
          68,      0.2007037244,      -1.405867579,      0.9849139709,      0.5458757974,       3.682948384,      -11.43434786,   1.860111322e-08,   2.164404789e-06,       6.513393354,       7.947577697,       7.947370357
          69,      0.2007296935,      -1.218575364,       1.074898769,      0.6340884162,       3.711325306,      -11.43389619,   1.878698839e-08,   2.204246058e-06,       6.513393354,       8.027053474,       8.026827327
          70,      0.2007977851,      -1.237101359,       1.114664631,      0.7119498469,       3.685317646,      -11.43382772,   1.897471999e-08,    2.24030779e-06,       6.513393354,       8.107324008,       8.107084814
          71,       0.200810622,      -1.364310137,       1.003582892,      0.6047895131,       3.678558056,      -11.43699901,   1.916432659e-08,   2.272391374e-06,       6.513393354,       8.188397248,       8.188150711
          72,      0.2008139302,      -1.399773025,       1.009489365,      0.4891457262,       3.703344881,      -11.43946146,   1.935582691e-08,   2.300435297e-06,       6.513393354,       8.270281221,       8.270015363
